pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,833.61
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,833.61
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,833.61
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,832.84
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,831.65
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,831.65
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,831.65
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,832.84
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,832.84
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,832.84
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,832.84
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,831.65
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,831.65
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,831.65
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,832.84
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,832.84
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,832.84
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,832.84
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,831.65
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,831.65
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,831.65
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,832.84
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,832.84
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,832.84
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,832.84
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,831.65
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,831.65
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,831.65
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,832.84
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,832.84
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,832.84
